,length,width,curb-weight,engine-size,horsepower,city-L/100km,highway-L/100km,wheel-base,bore,drive-wheels,price
0,0.4134328358208958,0.3247863247863245,0.4111714507370055,0.26037735849056604,0.294392523364486,0.4814814814814815,0.42105263157894735,0.058309037900874626,0.6642857142857145,rwd,13495
1,0.4134328358208958,0.3247863247863245,0.4111714507370055,0.26037735849056604,0.294392523364486,0.4814814814814815,0.42105263157894735,0.058309037900874626,0.6642857142857145,rwd,16500
2,0.4492537313432835,0.4444444444444446,0.5178432893716058,0.3433962264150943,0.4953271028037383,0.5701754385964912,0.4534412955465586,0.2303206997084549,0.10000000000000007,rwd,16500
3,0.5298507462686567,0.5042735042735046,0.32932505818463925,0.1811320754716981,0.2523364485981308,0.3761574074074074,0.33684210526315783,0.3848396501457725,0.4642857142857143,fwd,13950
4,0.5298507462686567,0.5213675213675221,0.5182311869666408,0.2830188679245283,0.3130841121495327,0.6219135802469136,0.6124401913875598,0.3731778425655979,0.4642857142857143,4wd,17450
5,0.5402985074626868,0.5128205128205127,0.3952676493405741,0.2830188679245283,0.2897196261682243,0.5701754385964912,0.4884210526315789,0.3848396501457725,0.4642857142857143,fwd,15250
6,0.7701492537313432,0.9487179487179492,0.525989138867339,0.2830188679245283,0.2897196261682243,0.5701754385964912,0.4884210526315789,0.5597667638483964,0.4642857142857143,fwd,17710
7,0.7701492537313432,0.9487179487179492,0.5686578743211792,0.2830188679245283,0.2897196261682243,0.5701754385964912,0.4884210526315789,0.5597667638483964,0.4642857142857143,fwd,18920
8,0.7701492537313432,0.9487179487179492,0.6198603568657874,0.2641509433962264,0.4299065420560748,0.6797385620915033,0.7157894736842104,0.5597667638483964,0.4214285714285714,fwd,23875
9,0.5328358208955226,0.3846153846153845,0.3518231186966641,0.17735849056603772,0.2476635514018692,0.4082125603864734,0.3629764065335753,0.42565597667638494,0.6857142857142857,rwd,16430
10,0.5328358208955226,0.3846153846153845,0.3518231186966641,0.17735849056603772,0.2476635514018692,0.4082125603864734,0.3629764065335753,0.42565597667638494,0.6857142857142857,rwd,16925
11,0.5328358208955226,0.3846153846153845,0.47401086113266105,0.3886792452830189,0.3411214953271028,0.4814814814814815,0.3909774436090225,0.42565597667638494,0.55,rwd,20970
12,0.5328358208955226,0.3846153846153845,0.495345228859581,0.3886792452830189,0.3411214953271028,0.4814814814814815,0.3909774436090225,0.42565597667638494,0.55,rwd,21105
13,0.7149253731343285,0.5641025641025647,0.6078355314197051,0.3886792452830189,0.3411214953271028,0.5236111111111111,0.4884210526315789,0.4927113702623906,0.55,rwd,24565
14,0.7149253731343285,0.5641025641025647,0.6757176105508146,0.5584905660377358,0.6261682242990654,0.7447916666666666,0.6124401913875598,0.4927113702623906,0.7714285714285716,rwd,30760
15,0.7865671641791048,0.6495726495726502,0.7339022498060512,0.5584905660377358,0.6261682242990654,0.7447916666666666,0.6124401913875598,0.4927113702623906,0.7714285714285716,rwd,41315
16,0.8343283582089553,0.9059829059829064,0.7823894491854151,0.5584905660377358,0.6261682242990654,0.8185185185185185,0.7157894736842104,0.6822157434402332,0.7714285714285716,rwd,36880
17,0.0,0.0,0.0,0.0,0.0,0.015366430260047262,0.007944389275074425,0.052478134110787486,0.2642857142857144,fwd,5151
18,0.22089552238805987,0.2820512820512823,0.14972847168347556,0.10943396226415096,0.10280373831775699,0.10453216374269003,0.10771113831089348,0.2303206997084549,0.3499999999999999,fwd,6295
19,0.26417910447761217,0.2820512820512823,0.16330488750969746,0.10943396226415096,0.10280373831775699,0.10453216374269003,0.10771113831089348,0.2303206997084549,0.3499999999999999,fwd,6575
20,0.24179104477611965,0.2991452991452991,0.15050426687354534,0.10943396226415096,0.09345794392523364,0.11711711711711716,0.13350449293966618,0.20699708454810514,0.3071428571428573,fwd,5572
21,0.24179104477611965,0.2991452991452991,0.15050426687354534,0.10943396226415096,0.09345794392523364,0.20967741935483872,0.17728531855955673,0.20699708454810514,0.3071428571428573,fwd,6377
22,0.24179104477611965,0.2991452991452991,0.2482544608223429,0.13962264150943396,0.2523364485981308,0.3761574074074074,0.33684210526315783,0.20699708454810514,0.3499999999999999,fwd,7957
23,0.24179104477611965,0.2991452991452991,0.18580294802172226,0.10943396226415096,0.09345794392523364,0.20967741935483872,0.17728531855955673,0.20699708454810514,0.3071428571428573,fwd,6229
24,0.24179104477611965,0.2991452991452991,0.1943366951124903,0.10943396226415096,0.09345794392523364,0.20967741935483872,0.17728531855955673,0.20699708454810514,0.3071428571428573,fwd,6692
25,0.24179104477611965,0.2991452991452991,0.1943366951124903,0.10943396226415096,0.09345794392523364,0.20967741935483872,0.17728531855955673,0.20699708454810514,0.3071428571428573,fwd,7609
26,0.24179104477611965,0.2991452991452991,0.2726920093095423,0.13962264150943396,0.2523364485981308,0.3761574074074074,0.33684210526315783,0.20699708454810514,0.3499999999999999,fwd,8558
27,0.5,0.3675213675213672,0.4061287820015516,0.23018867924528305,0.18691588785046728,0.3761574074074074,0.33684210526315783,0.4868804664723032,0.5714285714285713,fwd,8921
28,0.4791044776119402,0.5128205128205127,0.5131885182311869,0.3584905660377358,0.4532710280373832,0.5701754385964912,0.5263157894736841,0.2711370262390673,0.7571428571428572,fwd,12964
29,0.05223880597014925,0.30769230769230776,0.08727695888285493,0.1169811320754717,0.04672897196261682,0.0,0.0,0.0,0.2642857142857144,fwd,6479
30,0.05223880597014925,0.30769230769230776,0.12839410395655548,0.1169811320754717,0.1308411214953271,0.20967741935483872,0.17728531855955673,0.0,0.2642857142857144,fwd,6855
